numOfStr, num1, num2, num3, num4, num5, num6, num7, num8, num9, num10
1, 20095200, 20179100, 20192500, 20204300, 20215600, 20233700, 20245000, 20256400, 20266800, 20277700
2, 19667400, 19717800, 19731100, 19742900, 19753900, 19764300, 19776000, 19787300, 19797900, 19814900
3, 20271000, 20320400, 20333800, 20345700, 20357300, 20369700, 20381200, 20392100, 20414800, 20426500
4, 20789600, 20837600, 20851300, 20864400, 20876000, 20888600, 20909500, 20941700, 20954300, 20972500
5, 22182600, 22222100, 22241500, 22258000, 22303600, 22330400, 22351200, 22367700, 22383700, 22400700
6, 21130200, 21200400, 21223100, 21252400, 21272900, 21294000, 21317900, 21337800, 21358300, 21431900
7, 21884800, 21940600, 21961500, 21981500, 22002100, 22029100, 22050000, 22070400, 22090600, 22109400
8, 21995700, 22051200, 22079300, 22101400, 22134600, 22159300, 22188200, 22260100, 22302400, 22335200
9, 20878400, 20938100, 20960300, 20981400, 21003800, 21030400, 21053400, 21077600, 21100900, 21121500
10, 22055100, 22099500, 22121100, 22152500, 22172900, 22192700, 22222400, 22252400, 22274300, 22296100
11, 23698500, 23744400, 23768400, 23792700, 23825600, 23850000, 23882900, 23905900, 23937000, 23960500
12, 23715900, 23765300, 23791400, 23815700, 23849000, 23874000, 23910800, 23935000, 23959300, 23994400
13, 23954400, 24002900, 24043700, 24069700, 24101300, 24134700, 24161700, 24186300, 24212100, 24245300
14, 24187800, 24240000, 24278100, 24308000, 24340200, 24371200, 24397900, 24431900, 24460200, 24493300
15, 23369500, 23448200, 23492500, 23522100, 23556300, 23583600, 23611000, 23646000, 23678100, 23720900
16, 23788800, 23842700, 23880600, 23918100, 23953300, 23990900, 24021500, 24057600, 24088500, 24124700
17, 24478100, 24538100, 24569300, 24611300, 24660700, 24697000, 24735800, 24773100, 24893000, 24955000
18, 24599700, 24667900, 24701200, 24793300, 24857200, 24914000, 24951600, 25004000, 25041900, 25098400
19, 27424000, 27487000, 27522700, 27576200, 27610200, 27770900, 27820900, 27870300, 27972700, 28017700
20, 24785100, 24844200, 24890100, 24937200, 24971500, 25078400, 25127700, 25169300, 25228400, 25269700
21, 27649000, 27715000, 27763200, 27812600, 27848700, 27914700, 27977000, 28025500, 28074200, 28115000
22, 25643800, 25704600, 25750900, 25866000, 25926700, 26028600, 26133100, 26193200, 26241900, 26275900
23, 25056400, 25114800, 25257000, 25303300, 25362100, 25401300, 25444100, 25485000, 25517800, 25556800
24, 25108100, 25221800, 25276600, 25327300, 25404300, 25464000, 25573600, 25658700, 25694300, 25729000
25, 26071300, 26134600, 26201000, 26251900, 26343500, 26403400, 26457600, 26495100, 26540000, 26578300
26, 26515700, 26580800, 26641300, 26692800, 26744800, 26882300, 26944200, 26989600, 27029900, 27081300
27, 27647400, 27716300, 27788600, 27860200, 27991500, 28057800, 28118700, 28160300, 28214300, 28266300
28, 25795400, 25865500, 25936400, 26103600, 26147300, 26194300, 26256100, 26310400, 26364900, 26412200
29, 28013000, 28096300, 28196900, 28278300, 28332000, 28380500, 28429400, 28481100, 28528600, 28566400
30, 27602100, 27685400, 27751400, 27909900, 27960400, 28022900, 28066000, 28116600, 28220300, 28283400
